Sample Number,Sample ID ,Date/time,Filtered Volume (mL),Filter Weight (g),Comment,Depth
0,GW1,6/28/2023 0:00,49,0.2359,,0.1
0,GW2,6/28/2023 0:00,55,0.2333,"Start of Summer '22. A lot of unknown dates. This Section includes spring '22, spring '23 and some summer '23",0.1
0,GW3,6/28/2023 0:00,48,0.2381,,0.1
0,GW5,6/28/2023 0:00,70,0.2382,,0.1
0,GW6,6/28/2023 0:00,53,0.2356,,0.1
0,GW7,6/28/2023 0:00,75,0.2344,,0.1
0,GW8,6/28/2023 0:00,60,0.2336,,0.1
0,GW9,6/28/2023 0:00,55,0.2382,,0.1
0,GS Down,6/23/2023 0:00,200,0.2336,,0.1
0,GS UP,6/23/2023 0:00,205,0.2346,,0.1
340,UP# 12,5/5/2023 0:00,140,0.2358,,0.1
341,UP# 14,5/5/2023 0:00,150,0.2329,,0.1
342,UP# 16,5/5/2023 0:00,,0.2318,,0.1
356,D# 10,5/4/2023 23:00,140,0.2364,,0.1
355,D# 9,5/4/2023 20:00,150,0.2316,,0.1
354,D# 8,5/4/2023 17:00,160,0.2357,,0.1
353,D# 7 ,5/4/2023 14:00,150,0.2377,,0.1
352,D# 5,5/4/2023 8:00,140,0.2324,,0.1
351,D# 3,5/4/2023 2:00,160,0.2319,,0.1
336,UP# 4,5/4/2023 0:00,160,0.2341,,0.1
337,UP# 7,5/4/2023 0:00,155,0.222,,0.1
338,UP# 9,5/4/2023 0:00,140,0.2309,,0.1
339,UP# 10,5/4/2023 0:00,140,0.2355,This Section Mostly Includes Spring '23 Samples,0.1
350,D# 1,5/3/2023 20:00,150,0.2358,,0.1
249,D# 22,5/3/2023 14:00,140,0.2289,,0.1
334,UP# 22,5/3/2023 14:00,150,0.2315,,0.1
333,UP# 21,5/3/2023 7:00,140,0.2274,,0.1
348,D# 21,5/3/2023 7:00,140,0.2346,,0.1
332,UP# 20,5/3/2023 0:00,150,0.2302,,0.1
335,UP# 1,5/3/2023 0:00,160,0.2328,,0.1
347,D# 20,5/3/2023 0:00,150,0.2294,,0.1
331,UP# 19,5/2/2023 17:00,160,0.2344,,0.1
346,D# 19,5/2/2023 17:00,150,0.2332,,0.1
330,UP# 18,5/2/2023 10:00,160,0.2366,,0.1
345,D# 18,5/2/2023 10:00,140,0.2308,,0.1
329,UP# 17,5/2/2023 3:00,160,0.2401,,0.1
344,D# 17,5/2/2023 3:00,150,0.2365,,0.1
343,D# 16,5/1/2023 20:00,140,0.234,,0.1
327,Down# 15,5/1/2023 14:00,150,0.2332,,0.1
313,UP# 14,5/1/2023 9:00,160,0.2334,,0.1
326,Down# 14,5/1/2023 9:00,160,0.2316,,0.1
328,UP# 16,5/1/2023 8:00,150,0.2385,,0.1
312,UP# 13,5/1/2023 4:00,150,0.235,,0.1
325,Down# 13,5/1/2023 4:00,150,0.2205,,0.1
314,UP# 15,5/1/2023 2:00,170,0.2359,,0.1
311,UP# 12,4/30/2023 23:00,150,0.2346,,0.1
324,Down# 12,4/30/2023 23:00,155,0.2301,,0.1
310,UP# 11,4/30/2023 18:00,140,0.2351,,0.1
323,Down# 11,4/30/2023 18:00,150,0.2293,,0.1
309,UP# 10,4/30/2023 13:00,150,0.2354,,0.1
322,Down# 10,4/30/2023 13:00,160,0.2311,,0.1
308,UP# 9,4/30/2023 8:00,160,0.2309,,0.1
321,Down# 9,4/30/2023 8:00,150,0.2351,,0.1
307,UP# 8,4/30/2023 3:00,160,0.2372,,0.1
320,Down# 8,4/30/2023 3:00,140,0.231,,0.1
306,UP# 7,4/29/2023 22:00,140,0.2331,,0.1
319,Down# 7,4/29/2023 22:00,150,0.2367,,0.1
305,UP# 6,4/29/2023 17:00,165,0.2321,,0.1
318,Down# 6,4/29/2023 17:00,150,0.2323,,0.1
304,UP# 5,4/29/2023 12:00,150,0.2363,,0.1
316,D# 4,4/29/2023 7:00,150,0.2378,,0.1
317,D# 5,4/29/2023 5:00,150,0.2339,,0.1
303,UP# 3,4/29/2023 2:00,160,0.233,,0.1
315,D# 3,4/29/2023 2:00,160,0.2375,,0.1
301,D# 2,4/28/2023 21:00,155,0.2349,,0.1
302,UP# 2,4/28/2023 21:00,160,0.2354,,0.1
291,UP# 1,4/28/2023 16:00,150,0.2321,,0.1
300,D# 1,4/28/2023 16:00,170,0.2335,,0.1
290,UP# 24,4/28/2023 11:00,160,0.2314,,0.1
299,D# 24,4/28/2023 11:00,150,0.2333,,0.1
289,UP# 23,4/28/2023 6:00,155,0.2331,,0.1
298,D# 23,4/28/2023 6:00,170,0.2339,,0.1
288,UP# 22,4/28/2023 1:00,160,0.2321,,0.1
297,D# 22,4/28/2023 1:00,145,0.2323,,0.1
296,D# 21,4/27/2023 20:00,160,0.2319,,0.1
286,UP# 20,4/27/2023 15:00,160,0.2339,,0.1
295,D# 20,4/27/2023 15:00,160,0.2355,,0.1
294,D# 19,4/27/2023 10:00,170,0.2336,,0.1
284,UP# 18,4/27/2023 5:00,170,0.2349,,0.1
293,D# 18,4/27/2023 5:00,170,0.2317,,0.1
283,UP# 17,4/27/2023 0:00,150,0.2394,,0.1
287,UP# 21,4/27/2023 0:00,155,0.2308,Possible name typo,0.1
292,D# 17,4/27/2023 0:00,150,0.2295,,0.1
268,D# 16,4/26/2023 19:00,140,0.2361,,0.1
274,UP# 16,4/26/2023 19:00,150,0.2356,,0.1
267,D# 15,4/26/2023 13:30,159,0.2347,,0.1
266,D# 13,4/26/2023 4:00,150,0.2308,,0.1
273,UP# 15,4/26/2023 0:00,145,0.2328,,0.1
265,D# 12,4/25/2023 23:00,140,0.2357,,0.1
264,D# 11,4/25/2023 18:00,140,0.2323,Possible typo/duplicate,0.1
264,D# 11,4/25/2023 18:00,150,0.2306,Possible typo/duplicate,0.1
263,D# 10,4/25/2023 13:00,,0.2331,,0.1
271,UP# 10,4/25/2023 13:00,140,0.2359,,0.1
262,D# 9,4/25/2023 8:00,110,0.2345,,0.1
261,D# 8,4/25/2023 3:00,115,0.2298,,0.1
270,UP# 8,4/25/2023 3:00,170,0.2327,,0.1
275,GW1,4/25/2023 0:00,190,0.237,,0.1
276,GW2,4/25/2023 0:00,100,0.2318,,0.1
277,GW3,4/25/2023 0:00,140,0.2311,,0.1
278,GW5,4/25/2023 0:00,165,0.2372,,0.1
279,GW6,4/25/2023 0:00,90,0.2327,,0.1
280,GW7,4/25/2023 0:00,90,0.2356,,0.1
281,GW8,4/25/2023 0:00,100,0.2219,,0.1
