Date/time,Pressure,Temperature[°C],Barometric,Depth
5/28/2023 16:15,759.917,12.187,747.958,0.326754699
5/28/2023 16:20,759.917,12.139,747.958,0.326753494
5/28/2023 16:25,759.917,12.091,747.958,0.326752289
5/28/2023 16:30,759.917,12.043,747.958,0.326751084
5/28/2023 16:35,759.9753333,11.973,747.958,0.327333437
5/28/2023 16:40,760.0336667,11.903,747.958,0.327915773
5/28/2023 16:45,760.092,11.833,747.958,0.328498091
5/28/2023 16:50,760.1306667,11.762,747.958,0.328883448
5/28/2023 16:55,760.1693333,11.691,747.958,0.329268792
5/28/2023 17:00,760.208,11.62,747.958,0.329654125
5/28/2023 17:05,760.208,11.54566667,747.958,0.329652214
5/28/2023 17:10,760.208,11.47133333,747.958,0.329650302
5/28/2023 17:15,760.208,11.397,747.958,0.329648391
5/28/2023 17:20,760.111,11.32233333,747.958,0.328675311
5/28/2023 17:25,760.014,11.24766667,747.958,0.327702261
5/28/2023 17:30,759.917,11.173,747.958,0.326729242
5/28/2023 17:35,759.9753333,11.101,747.958,0.327311438
5/28/2023 17:40,760.0336667,11.029,747.958,0.327893617
5/28/2023 17:45,760.092,10.957,747.958,0.328475777
5/28/2023 17:50,760.092,10.87133333,747.958,0.328473595
5/28/2023 17:55,760.092,10.78566667,747.958,0.328471413
5/28/2023 18:00,760.092,10.7,747.958,0.328469231
5/28/2023 18:05,760.092,10.62766667,747.958,0.328467388
5/28/2023 18:10,760.092,10.55533333,747.958,0.328465546
5/28/2023 18:15,760.092,10.483,747.958,0.328463703
5/28/2023 18:20,760.0336667,10.402,747.997,0.327487331
5/28/2023 18:25,759.9753333,10.321,748.036,0.326510992
5/28/2023 18:30,759.917,10.24,748.075,0.325534686
5/28/2023 18:35,759.917,10.16,748.075,0.325532697
5/28/2023 18:40,759.917,10.08,748.075,0.325530708
5/28/2023 18:45,759.917,10,748.075,0.325528719
5/28/2023 18:50,760.0723333,9.932333333,748.075,0.327081774
5/28/2023 18:55,760.2276667,9.864666667,748.075,0.328634785
5/28/2023 19:00,760.383,9.797,748.075,0.330187752
5/28/2023 19:05,760.3246667,9.743666667,748.075,0.329602537
5/28/2023 19:10,760.2663333,9.690333333,748.075,0.329017334
5/28/2023 19:15,760.208,9.637,748.075,0.328432145
5/28/2023 19:20,760.3053333,9.588,748.1333333,0.328821221
5/28/2023 19:25,760.4026667,9.539,748.1916667,0.329210289
5/28/2023 19:30,760.5,9.49,748.25,0.32959935
5/28/2023 19:35,760.5583333,9.441,748.1916667,0.33076569
5/28/2023 19:40,760.6166667,9.392,748.1333333,0.331932007
5/28/2023 19:45,760.675,9.343,748.075,0.3330983
5/28/2023 19:50,760.5193333,9.294333333,748.1916667,0.330371583
5/28/2023 19:55,760.3636667,9.245666667,748.3083333,0.327644921
5/28/2023 20:00,760.208,9.197,748.425,0.324918315
5/28/2023 20:05,760.3636667,9.148,748.3666667,0.327058685
5/28/2023 20:10,760.5193333,9.099,748.3083333,0.32919901
5/28/2023 20:15,760.675,9.05,748.25,0.331339292
5/28/2023 20:20,760.675,9.001,748.3083333,0.330754268
5/28/2023 20:25,760.675,8.952,748.3666667,0.330169255
5/28/2023 20:30,760.675,8.903,748.425,0.329584254
5/28/2023 20:35,760.5776667,8.852,748.3666667,0.329192679
5/28/2023 20:40,760.4803333,8.801,748.3083333,0.328801111
5/28/2023 20:45,760.383,8.75,748.25,0.328409553
5/28/2023 20:50,760.4803333,8.701,748.25,0.329382266
5/28/2023 20:55,760.5776667,8.652,748.25,0.330354959
5/28/2023 21:00,760.675,8.603,748.25,0.331327633
5/28/2023 21:05,760.7723333,8.551,748.3473333,0.331326276
5/28/2023 21:10,760.8696667,8.499,748.4446667,0.33132492
5/28/2023 21:15,760.967,8.447,748.542,0.331323564
5/28/2023 21:20,760.967,8.395666667,748.542,0.331322225
5/28/2023 21:25,760.967,8.344333333,748.542,0.331320886
5/28/2023 21:30,760.967,8.293,748.542,0.331319547
5/28/2023 21:35,760.928,8.244333333,748.503,0.331318278
5/28/2023 21:40,760.889,8.195666667,748.464,0.331317008
5/28/2023 21:45,760.85,8.147,748.425,0.331315739
5/28/2023 21:50,760.986,8.100333333,748.464,0.332285025
5/28/2023 21:55,761.122,8.053666667,748.503,0.333254293
5/28/2023 22:00,761.258,8.007,748.542,0.334223541
5/28/2023 22:05,761.3746667,7.963666667,748.6003333,0.334806004
5/28/2023 22:10,761.4913333,7.920333333,748.6586667,0.335388456
5/28/2023 22:15,761.608,7.877,748.717,0.335970898
5/28/2023 22:20,761.3943333,7.834666667,748.717,0.333832095
5/28/2023 22:25,761.1806667,7.792333333,748.717,0.33169333
5/28/2023 22:30,760.967,7.75,748.717,0.329554603
5/28/2023 22:35,761.064,7.71,748.7753333,0.329940411
5/28/2023 22:40,761.161,7.67,748.8336667,0.330326211
5/28/2023 22:45,761.258,7.63,748.892,0.330712005
5/28/2023 22:50,761.161,7.593333333,748.892,0.329740653
5/28/2023 22:55,761.064,7.556666667,748.892,0.328769316
5/28/2023 23:00,760.967,7.52,748.892,0.327797993
5/28/2023 23:05,761.1806667,7.482333333,748.9306667,0.32954772
5/28/2023 23:10,761.3943333,7.444666667,748.9693333,0.331297419
