Sample number,Sample ID ,Date/time,Filtered Volume (mL),Filter Weight (g),Comment,Depth
,GW 1,6/28/2023 0:00,49,0.2359,,-1
,GW2,6/28/2023 0:00,55,0.2333,"Start of Summer '22. A lot of unknown dates. This Section includes spring '22, spring '23 and some summer '23",-1
,GW3,6/28/2023 0:00,48,0.2381,,-1
,GW5,6/28/2023 0:00,70,0.2382,,-1
,GW6,6/28/2023 0:00,53,0.2356,,-1
,GW7,6/28/2023 0:00,75,0.2344,,-1
,GW8,6/28/2023 0:00,60,0.2336,,-1
,GW9,6/28/2023 0:00,55,0.2382,,-1
,GS Down,6/23/2023 0:00,200,0.2336,,-1
,GS UP,6/23/2023 0:00,205,0.2346,,-1
,UP# 12,5/5/2023 0:00,140,0.2358,,-1
,UP# 14,5/5/2023 0:00,150,0.2329,,-1
,UP# 16,5/5/2023 0:00,,0.2318,,-1
,D# 10,5/4/2023 23:00,140,0.2364,,-1
,D# 9,5/4/2023 20:00,150,0.2316,,-1
,D# 8,5/4/2023 17:00,160,0.2357,,-1
,D# 7 ,5/4/2023 14:00,150,0.2377,,-1
,D# 5,5/4/2023 8:00,140,0.2324,,-1
,D# 3,5/4/2023 2:00,160,0.2319,,-1
,UP# 10,5/4/2023 0:00,140,0.2355,This Section Mostly Includes Spring '23 Samples,-1
,UP# 4,5/4/2023 0:00,160,0.2341,,-1
,UP# 7,5/4/2023 0:00,155,0.222,,-1
,UP# 9,5/4/2023 0:00,140,0.2309,,-1
,D# 1,5/3/2023 20:00,150,0.2358,,-1
,D# 22,5/3/2023 14:00,140,0.2289,,-1
,UP# 22,5/3/2023 14:00,150,0.2315,,-1
,D# 21,5/3/2023 7:00,140,0.2346,,-1
,UP# 21,5/3/2023 7:00,140,0.2274,,-1
,D# 20,5/3/2023 0:00,150,0.2294,,-1
,UP# 1,5/3/2023 0:00,160,0.2328,,-1
,UP# 20,5/3/2023 0:00,150,0.2302,,-1
,D# 19,5/2/2023 17:00,150,0.2332,,-1
,UP# 19,5/2/2023 17:00,160,0.2344,,-1
,D# 18,5/2/2023 10:00,140,0.2308,,-1
,UP# 18,5/2/2023 10:00,160,0.2366,,-1
,D# 17,5/2/2023 3:00,150,0.2365,,-1
,UP# 17,5/2/2023 3:00,160,0.2401,,-1
,D# 16,5/1/2023 20:00,140,0.234,,-1
,Down# 15,5/1/2023 14:00,150,0.2332,,-1
,UP# 14,5/1/2023 9:00,160,0.2334,,-1
,Down# 14,5/1/2023 9:00,160,0.2316,,-1
,UP# 16,5/1/2023 8:00,150,0.2385,,-1
,Down# 13,5/1/2023 4:00,150,0.2205,,-1
,UP# 13,5/1/2023 4:00,150,0.235,,-1
,UP# 15,5/1/2023 2:00,170,0.2359,,-1
,Down# 12,4/30/2023 23:00,155,0.2301,,-1
,UP# 12,4/30/2023 23:00,150,0.2346,,-1
,Down# 11,4/30/2023 18:00,150,0.2293,,-1
,UP# 11,4/30/2023 18:00,140,0.2351,,-1
,Down# 10,4/30/2023 13:00,160,0.2311,,-1
,UP# 10,4/30/2023 13:00,150,0.2354,,-1
,Down# 9,4/30/2023 8:00,150,0.2351,,-1
,UP# 9,4/30/2023 8:00,160,0.2309,,-1
,Down# 8,4/30/2023 3:00,140,0.231,,-1
,UP# 8,4/30/2023 3:00,160,0.2372,,-1
,Down# 7,4/29/2023 22:00,150,0.2367,,-1
,UP# 7,4/29/2023 22:00,140,0.2331,,-1
,Down# 6,4/29/2023 17:00,150,0.2323,,-1
,UP# 6,4/29/2023 17:00,165,0.2321,,-1
,UP# 5,4/29/2023 12:00,150,0.2363,,-1
,D# 4,4/29/2023 7:00,150,0.2378,,-1
,D# 5,4/29/2023 5:00,150,0.2339,,-1
,D# 3,4/29/2023 2:00,160,0.2375,,-1
,UP# 3,4/29/2023 2:00,160,0.233,,-1
,D# 2,4/28/2023 21:00,155,0.2349,,-1
,UP# 2,4/28/2023 21:00,160,0.2354,,-1
,D# 1,4/28/2023 16:00,170,0.2335,,-1
,UP# 1,4/28/2023 16:00,150,0.2321,,-1
,D# 24,4/28/2023 11:00,150,0.2333,,-1
,UP# 24,4/28/2023 11:00,160,0.2314,,-1
,D# 23,4/28/2023 6:00,170,0.2339,,-1
,UP# 23,4/28/2023 6:00,155,0.2331,,-1
,D# 22,4/28/2023 1:00,145,0.2323,,-1
,UP# 22,4/28/2023 1:00,160,0.2321,,-1
,D# 21,4/27/2023 20:00,160,0.2319,,-1
,D# 20,4/27/2023 15:00,160,0.2355,,-1
,UP# 20,4/27/2023 15:00,160,0.2339,,-1
,D# 19,4/27/2023 10:00,170,0.2336,,-1
,UP# 18,4/27/2023 5:00,170,0.2349,,-1
,D# 18,4/27/2023 5:00,170,0.2317,,-1
,UP #21,4/27/2023 0:00,155,0.2308,Possible name typo,-1
,D# 17,4/27/2023 0:00,150,0.2295,,-1
,UP# 17,4/27/2023 0:00,150,0.2394,,-1
,D# 16,4/26/2023 19:00,140,0.2361,,-1
,UP# 16,4/26/2023 19:00,150,0.2356,,-1
,D# 15,4/26/2023 13:30,159,0.2347,,-1
,D# 13,4/26/2023 4:00,150,0.2308,,-1
,UP# 15,4/26/2023 0:00,145,0.2328,,-1
,D# 12,4/25/2023 23:00,140,0.2357,,-1
,D# 11,4/25/2023 18:00,140,0.2323,Possible typo/duplicate,-1
,D# 11,4/25/2023 18:00,150,0.2306,Possible typo/duplicate,-1
,D# 10,4/25/2023 13:00,,0.2331,,-1
,UP# 10,4/25/2023 13:00,140,0.2359,,-1
,D# 9,4/25/2023 8:00,110,0.2345,,-1
,D# 8,4/25/2023 3:00,115,0.2298,,-1
,UP# 8,4/25/2023 3:00,170,0.2327,,-1
,GW1,4/25/2023 0:00,190,0.237,,-1
,GW2,4/25/2023 0:00,100,0.2318,,-1
,GW3,4/25/2023 0:00,140,0.2311,,-1
,GW5,4/25/2023 0:00,165,0.2372,,-1
,GW6,4/25/2023 0:00,90,0.2327,,-1
,GW7,4/25/2023 0:00,90,0.2356,,-1
,GW8,4/25/2023 0:00,100,0.2219,,-1
,GW9,4/25/2023 0:00,100,0.2354,,-1
,D# 7 ,4/24/2023 22:00,95,0.2322,,-1
,UP# 7,4/24/2023 22:00,140,0.2309,,-1
,D# 6,4/24/2023 17:00,95,0.2382,,-1
,UP# 6,4/24/2023 17:00,160,0.2311,,-1
,Down# 5,4/24/2023 12:00,155,0.2253,,-1
,UP# 5,4/24/2023 12:00,150,0.2332,,-1
,UP# 4 ,4/24/2023 7:00,140,0.2288,,-1
,Down# 4,4/24/2023 7:00,140,0.2348,,-1
,Down# 3,4/24/2023 2:00,140,0.2321,,-1
,UP# 3,4/24/2023 2:00,150,0.2352,,-1
,Down# 2,4/23/2023 21:00,150,0.2271,,-1
,UP# 2,4/23/2023 21:00,155,0.2325,,-1
,Down# 1,4/23/2023 16:00,145,0.2306,,-1
,UP# 1,4/23/2023 16:00,160,0.228,,-1
,UP# 24,4/23/2023 11:30,150,0.2421,,-1
,UP# 22,4/23/2023 1:30,150,0.2382,,-1
,UP# 21,4/23/2023 0:00,150,0.2332,could be 28/4/23,-1
,UP# 20,4/22/2023 15:30,150,0.238,,-1
,UP# 19,4/22/2023 10:30,145,0.2368,,-1
,UP# 18,4/22/2023 5:30,150,0.2347,,-1
,UP# 17,4/22/2023 0:30,150,0.2336,,-1
,UP# 16,4/21/2023 19:30,140,0.234,,-1
,Down# 14,4/21/2023 14:30,,0.2365,,-1
,UP# 15,4/21/2023 14:30,150,0.2372,,-1
,Down# 13,4/21/2023 9:30,,0.2378,,-1
,UP# 14,4/21/2023 9:30,150,0.2353,,-1
,UP# 12,4/20/2023 23:30,150,0.2328,,-1
